"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","20","Non-standardised","0.8","0.5","1.2",NA
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","20","Age-standardised","0.8","0.5","1.2",NA
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","33","Non-standardised","1.4","0.9","1.9",NA
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","33","Age-standardised","1.4","1","1.9",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","178","Non-standardised","7.6","6.5","8.8",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","178","Age-standardised","7.7","6.6","8.9",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","246","Non-standardised","10.8","9.5","12.3",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","246","Age-standardised","11.8","10.3","13.3",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","188","Non-standardised","8","6.9","9.2",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","188","Age-standardised","8.1","7","9.4",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","217","Non-standardised","9.5","8.3","10.8",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","217","Age-standardised","10.2","8.9","11.6",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","195","Non-standardised","8.2","7.1","9.5",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","195","Age-standardised","8.3","7.2","9.5",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","259","Non-standardised","11.2","9.9","12.7",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","259","Age-standardised","12.1","10.6","13.6",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","177","Non-standardised","7.4","6.3","8.6",NA
